1.37,14.29,1.54,0.47,9.20,34.98,0.079,0.079,7.87,3.72,0.055,0.27,1.61,0.021,11.83,30.85,0.29,0.017,5.22,9.58,1.05,104.07,0.051,71.10,0.77,2.14,0.0083,52.84
3.86,8.48,3.88,1.34,10.92,30.79,0.065,0.113,12.29,3.17,0.159,0.11,1.21,0.086,1.35,88.15,0.09,0.100,2.92,22.55,2.11,116.38,0.154,124.62,0.98,8.52,0.0101,7.80
2.62,14.76,1.73,0.53,21.55,41.44,0.255,0.150,5.55,2.41,0.104,0.10,1.10,0.030,0.51,34.31,0.13,0.017,3.78,11.02,1.46,126.55,0.069,106.74,0.48,7.68,0.0053,19.56
2.70,12.36,1.60,0.29,14.71,29.38,0.045,0.119,12.83,3.72,0.111,0.00,1.05,0.066,0.28,48.32,0.02,0.002,1.33,40.47,0.97,166.43,0.056,94.37,0.18,12.07,0.0032,3.93
1.12,2.93,1.34,0.22,15.48,56.10,0.058,0.089,3.91,1.57,0.036,0.05,0.55,0.048,2.21,45.47,0.04,0.006,1.92,9.78,0.65,68.46,0.075,78.32,0.20,3.77,0.0076,9.29
0.88,2.17,0.83,0.43,2.88,11.73,0.034,0.056,12.94,7.58,0.028,0.23,9.19,0.027,3.54,33.49,0.06,0.027,4.28,8.06,0.27,40.75,0.086,41.11,0.07,2.01,0.0130,9.34
1.45,26.58,1.57,0.56,12.55,28.28,0.037,0.173,19.95,6.71,0.077,0.24,1.34,0.070,0.69,48.22,0.22,0.019,3.38,12.07,0.19,93.62,0.074,85.00,0.08,6.04,0.0090,6.45
0.68,5.72,0.56,0.12,16.83,26.32,0.040,0.079,4.90,2.85,0.025,0.09,0.51,0.040,0.46,28.14,0.08,0.009,1.97,9.04,0.06,76.13,0.026,51.33,0.03,1.13,0.0073,4.00
1.08,3.03,0.98,0.38,2.75,13.88,0.057,0.035,5.36,4.38,0.045,0.20,2.07,0.012,6.86,38.57,0.08,0.016,3.06,16.28,0.97,68.09,0.041,55.04,1.41,3.25,0.0078,37.36
1.67,8.79,1.65,0.85,4.65,11.40,0.058,0.108,6.60,4.00,0.067,0.14,2.24,0.021,2.16,54.81,0.11,0.042,3.69,19.71,0.14,95.87,0.097,88.19,0.04,3.79,0.0057,19.15
0.97,2.02,0.96,0.21,7.75,24.01,0.033,0.071,1.60,2.15,0.034,0.12,0.79,0.011,2.74,41.76,0.04,0.006,1.57,17.39,1.15,130.02,0.059,154.32,1.17,8.94,0.0055,5.66
1.86,8.97,1.58,0.80,5.13,12.89,0.053,0.103,7.77,4.50,0.067,0.56,1.60,0.038,3.64,47.43,2.31,0.030,3.73,15.79,4.45,96.69,0.086,64.28,1.09,2.48,0.0090,17.33
4.53,18.18,5.16,1.52,6.24,32.26,0.177,0.237,10.82,0.64,0.030,0.23,0.11,0.012,3.19,102.99,0.16,0.071,4.27,29.40,7.66,215.80,0.145,266.27,1.57,25.03,0.0099,63.31
9.37,57.78,4.16,1.65,22.54,102.23,0.204,0.930,14.44,0.63,0.061,0.24,0.10,0.189,1.14,86.61,1.22,0.038,2.62,75.85,6.08,165.94,0.204,173.46,3.49,48.01,0.0046,34.05
1.50,22.39,1.34,0.44,16.33,48.99,0.465,0.166,11.24,0.42,0.026,0.24,0.10,0.007,6.58,36.81,0.12,0.020,7.77,6.50,2.52,128.45,0.053,155.19,0.53,6.06,0.0087,102.06
2.21,6.61,1.59,0.79,3.64,6.84,0.042,0.051,8.08,4.29,0.066,0.24,1.89,0.030,0.75,51.29,0.28,0.047,4.05,13.73,2.19,111.50,0.070,118.08,1.94,3.67,0.0075,6.04
0.78,3.13,0.60,0.13,16.50,30.13,0.072,0.056,3.07,3.09,0.029,0.08,0.91,0.023,1.72,27.95,0.08,0.005,2.82,6.80,0.93,67.65,0.026,71.78,0.80,1.30,0.0055,10.91
1.55,10.39,1.72,0.69,4.84,19.69,0.057,0.091,12.35,5.81,0.049,0.17,2.76,0.025,4.45,74.92,0.22,0.025,3.93,26.21,0.20,84.54,0.078,62.08,0.04,4.23,0.0102,36.03
0.61,9.23,1.06,0.28,3.98,32.02,0.030,0.070,15.13,7.62,0.057,0.37,2.40,0.024,4.21,92.19,0.15,0.024,3.10,42.03,3.12,70.28,0.080,42.67,0.62,2.95,0.0209,32.53
0.79,7.28,1.11,0.53,4.88,19.09,0.045,0.045,6.71,4.63,0.053,0.31,2.16,0.016,2.18,28.80,0.20,0.023,3.26,7.17,1.46,83.47,0.080,65.04,1.24,3.21,0.0073,12.75
0.88,15.03,1.23,0.47,5.33,28.22,0.048,0.097,12.51,8.81,0.066,0.45,2.72,0.032,5.19,56.73,0.74,0.022,4.50,22.05,1.54,79.06,0.085,51.76,0.17,2.33,0.0327,39.63
1.78,5.93,0.82,0.31,10.89,39.79,0.065,0.048,4.31,3.34,0.024,0.08,0.95,0.039,4.16,28.50,0.22,0.009,3.00,12.99,0.60,70.47,0.060,54.88,0.57,1.93,0.0058,23.56
1.38,14.04,1.75,0.53,4.37,14.50,0.019,0.049,4.57,4.96,0.045,0.16,0.98,0.020,0.68,55.63,0.13,0.024,4.24,12.40,1.99,81.20,0.073,89.74,0.11,4.02,0.0106,8.70
1.05,4.09,0.78,0.30,7.23,22.96,0.048,0.011,4.39,3.48,0.024,0.06,0.34,0.028,2.43,42.67,0.05,0.007,1.80,15.35,1.15,106.88,0.082,93.44,0.68,2.59,0.0051,9.44
0.56,8.55,0.84,0.42,4.08,31.54,0.025,0.044,7.01,5.33,0.051,0.20,1.52,0.024,5.94,32.94,0.15,0.018,3.62,14.40,0.18,129.84,0.071,71.08,0.07,3.11,0.0148,43.33
1.30,5.43,0.96,0.28,10.63,41.51,0.049,0.082,2.67,2.63,0.027,0.12,0.62,0.056,4.05,33.66,0.15,0.006,2.05,13.82,0.56,135.24,0.117,107.75,0.29,3.34,0.0798,19.05
1.05,9.15,1.99,0.43,5.08,15.14,0.047,0.059,5.62,4.14,0.082,0.18,1.76,0.034,0.74,45.37,0.19,0.022,3.56,13.51,3.49,79.16,0.058,73.12,0.17,3.75,0.0142,4.44
1.27,7.05,1.05,0.26,13.75,26.13,0.054,0.077,5.84,2.69,0.038,0.05,0.63,0.019,0.38,36.52,0.15,0.003,1.37,12.17,1.43,98.94,0.027,75.97,0.67,2.34,0.0021,3.44
0.61,3.03,0.85,0.12,12.97,35.35,0.027,0.054,3.43,1.59,0.028,0.04,0.51,0.022,1.53,28.32,0.05,0.005,1.23,6.82,0.33,36.21,0.048,35.42,0.06,0.76,0.0123,3.81
2.00,4.74,2.37,1.07,3.67,18.57,0.196,0.074,5.68,10.05,0.081,0.44,5.15,0.029,11.93,48.37,0.42,0.045,4.15,13.57,1.60,166.61,0.106,197.91,1.46,7.91,0.0114,72.48
1.67,9.17,2.02,1.02,6.12,22.84,0.079,0.105,16.31,11.86,0.089,0.85,4.05,0.905,2.27,83.88,1.78,0.060,4.13,26.78,3.13,101.30,0.113,83.10,1.88,7.38,0.0086,21.99
3.59,7.35,2.46,1.09,12.67,27.73,0.161,0.337,8.86,7.13,0.075,0.26,2.66,0.295,0.33,66.11,0.38,0.019,1.81,51.95,7.80,381.05,0.106,396.66,8.88,39.75,0.0054,6.79
1.06,11.97,1.93,0.71,4.68,16.86,0.234,0.051,7.06,6.30,0.148,0.74,1.17,0.248,2.17,65.99,0.04,0.020,2.34,20.76,3.94,142.83,0.106,205.06,2.75,10.54,0.0468,10.96
1.14,11.44,1.34,0.40,10.47,24.23,0.143,0.038,7.86,5.62,0.044,0.26,1.14,0.079,2.37,55.17,0.19,0.008,4.60,23.36,1.00,160.09,0.065,152.21,0.49,4.09,0.0116,19.55
0.93,39.09,1.07,0.59,18.04,48.27,0.248,0.160,26.00,9.49,0.115,0.25,2.98,0.169,1.85,54.81,1.15,0.004,5.58,44.36,0.14,211.98,0.041,162.55,0.00,11.04,0.0032,52.75
0.17,7.51,0.31,0.09,11.65,54.97,0.036,0.101,7.64,1.15,0.010,0.22,0.33,0.478,4.72,15.05,0.39,0.004,2.88,5.40,0.03,27.07,0.022,17.73,0.00,1.02,0.0038,13.86
1.90,9.71,1.78,0.77,4.84,27.26,0.099,0.090,10.71,11.31,0.044,0.62,16.89,0.009,11.05,45.25,0.78,0.042,3.46,12.98,2.85,157.41,0.099,147.51,1.34,6.59,0.0095,55.04
3.40,43.90,2.82,0.80,17.42,28.78,0.224,0.171,24.46,7.24,0.084,0.47,1.40,0.030,0.49,55.51,1.24,0.008,2.95,31.14,1.06,215.22,0.078,154.85,1.56,15.45,0.0031,12.05
1.01,8.20,1.56,0.28,12.96,67.90,0.162,0.129,3.30,1.06,0.040,0.20,0.50,0.322,2.48,63.50,0.06,0.011,4.81,17.57,0.77,49.25,0.115,60.76,0.95,3.41,0.0094,18.55
1.43,5.80,1.20,0.87,4.01,21.53,0.085,0.107,12.83,6.17,0.065,0.34,2.00,0.022,3.61,55.24,0.14,0.034,3.23,23.44,5.33,202.25,0.121,150.57,1.52,6.09,0.0312,26.78
3.34,2.60,1.59,0.77,8.57,21.34,0.155,0.046,1.72,2.76,0.039,1.05,1.22,2.503,0.43,28.40,0.62,0.040,2.84,5.68,0.04,19.02,0.111,23.29,0.02,0.84,0.0183,8.07
0.76,4.45,0.64,0.13,12.62,23.95,0.042,0.111,3.70,1.93,0.022,0.12,0.56,0.023,0.25,33.81,0.05,0.005,1.74,4.91,0.04,26.53,0.032,39.68,0.01,1.18,0.0173,6.54
0.98,4.12,1.23,0.50,2.57,10.38,0.033,0.054,16.56,3.38,0.035,0.43,0.49,0.160,0.26,45.22,0.08,0.026,1.32,17.20,3.13,70.02,0.143,72.84,5.62,4.41,0.0163,4.76
1.21,6.02,1.27,0.36,7.28,19.96,0.066,0.025,9.21,3.08,0.017,0.13,0.36,0.015,0.49,59.81,0.07,0.008,2.44,25.91,0.36,123.48,0.139,129.57,0.75,5.88,0.0056,10.12
1.92,13.92,2.16,0.46,9.55,28.05,0.261,0.043,6.20,1.55,0.063,0.35,0.57,0.108,2.36,42.39,0.02,0.025,4.48,14.35,1.39,113.22,0.042,115.77,2.94,5.54,0.0310,37.42
1.42,15.68,1.13,0.40,11.48,39.65,0.186,0.020,11.19,3.21,0.043,0.31,0.74,0.021,3.27,55.01,0.05,0.007,4.45,24.49,0.46,171.34,0.090,173.97,1.13,6.57,0.0064,44.76
1.02,15.46,0.93,0.32,11.11,22.49,0.208,0.039,11.80,5.89,0.049,0.19,1.57,0.052,1.45,32.17,0.77,0.006,4.56,19.69,0.30,185.15,0.029,127.20,0.12,4.07,0.0044,30.85
0.49,7.76,0.74,0.34,9.64,37.06,0.077,0.085,13.44,3.46,0.030,0.45,1.30,1.036,5.26,36.33,0.69,0.015,3.56,20.38,0.43,82.02,0.079,56.44,0.29,3.38,0.0050,21.00
0.91,4.63,0.90,0.39,2.86,13.73,0.045,0.061,11.20,7.03,0.033,0.26,2.46,0.020,3.99,45.70,0.40,0.021,2.70,24.73,2.21,73.29,0.076,27.99,0.97,1.40,0.0104,19.42
5.37,49.01,3.01,1.70,8.31,21.53,0.137,0.120,9.92,5.78,0.055,0.17,2.01,0.043,0.28,34.08,1.00,0.116,1.39,33.72,1.80,167.17,0.223,60.48,1.10,14.39,0.0036,6.94
1.13,2.36,0.96,0.49,3.51,27.26,0.065,0.043,1.53,1.72,0.015,0.20,2.11,0.667,2.15,28.04,0.11,0.053,2.28,9.85,0.59,27.87,0.123,23.25,0.60,2.16,0.0030,19.34
0.86,18.45,1.53,0.45,4.45,31.11,0.049,0.078,6.97,9.10,0.068,0.59,2.52,0.216,9.85,56.08,0.93,0.016,3.94,14.17,1.81,71.14,0.059,55.16,1.04,3.16,0.0075,94.47
0.68,10.98,0.78,0.47,5.73,9.40,0.228,0.017,9.32,6.09,0.061,0.08,2.38,0.024,0.31,30.84,0.39,0.010,2.62,29.58,1.30,198.29,0.032,55.13,0.25,4.54,0.0025,10.19
0.19,2.44,0.41,0.27,3.59,10.01,0.069,0.049,4.63,2.24,0.037,0.17,1.02,0.128,0.43,24.41,0.30,0.005,2.82,19.47,0.43,93.25,0.059,26.84,0.21,2.27,0.0083,5.19
1.52,4.67,1.46,0.96,3.22,14.87,0.048,0.088,11.76,20.07,0.105,0.46,28.96,0.025,4.20,64.46,0.48,0.045,4.28,14.38,0.15,88.37,0.120,77.18,0.03,3.82,0.0095,13.79
0.66,1.58,0.55,0.18,6.26,8.76,0.056,0.004,4.28,5.38,0.012,0.06,4.15,0.057,0.80,27.75,0.10,0.004,1.86,8.33,0.09,65.16,0.053,79.42,0.01,1.44,0.0050,7.52
0.71,7.52,0.88,0.50,6.06,34.30,0.044,0.162,10.68,4.15,0.065,0.31,2.36,0.033,5.48,44.87,0.33,0.025,4.54,14.13,4.70,66.70,0.064,44.90,1.70,2.56,0.0124,36.82
0.86,5.95,0.48,0.16,17.24,59.05,0.055,0.095,3.32,1.73,0.025,0.11,0.52,0.017,4.74,23.83,0.09,0.005,2.58,5.97,1.15,53.85,0.063,50.72,0.57,1.65,0.0050,20.67
2.06,2.25,1.79,0.93,4.40,22.29,0.076,0.085,10.47,14.08,0.031,0.38,17.56,0.020,7.23,57.15,0.46,0.068,3.97,13.98,0.24,64.08,0.103,66.79,0.04,5.26,0.0088,13.93
1.00,23.17,1.28,0.40,7.22,21.24,0.049,0.060,9.45,5.55,0.047,0.21,2.05,0.024,3.43,38.62,0.29,0.013,3.87,13.27,2.54,97.11,0.046,73.71,0.93,1.93,0.0089,25.43
0.70,50.99,0.69,0.39,21.87,41.17,0.255,0.148,9.46,7.15,0.064,0.31,1.58,0.070,0.66,28.14,1.48,0.004,5.86,23.97,4.27,151.58,0.025,49.51,0.57,1.97,0.0032,37.23
0.86,5.85,1.11,0.68,6.91,21.66,0.075,0.054,7.26,4.13,0.045,0.21,1.85,0.198,1.42,40.27,0.49,0.048,3.07,34.44,0.63,110.42,0.081,42.85,0.99,2.60,0.0086,7.48
1.06,3.08,1.50,0.53,2.93,23.77,0.062,0.048,5.97,6.48,0.085,0.46,1.98,0.024,11.50,70.68,0.51,0.013,5.12,32.95,1.01,189.58,0.047,121.45,0.75,4.73,0.0078,64.24
