Strawberry Type/Chemical Label (Each entry is the volatility of the sample in ng / gFW hr),75-85-4 ,616-25-1 ,1629-58-9 ,96-22-0 ,110-62-3 ,1534-08-3 ,105-37-3,109-60-4 ,623-42-7 ,591-78-6 ,108-10-1 ,1576-87-0 ,1576-86-9 ,623-43-8 ,71-41-0,1576-95-0 ,556-24-1 ,589-38-8 ,105-54-4 ,66-25-1 ,123-86-4 ,624-24-8 ,29674-47-3 ,96-04-8 ,638-11-9 ,116-53-0 ,7452-79-1 ,6728-26-3 ,928-95-0 ,111-27-3 ,123-92-2 ,624-41-9 ,110-43-0,2432-51-1 ,105-66-8 ,539-82-2 ,111-71-7 ,628-63-7 ,1191-16-8 ,106-70-7 ,55514-48-2 ,110-93-0 ,109-21-7 ,123-66-0 ,124-13-0 ,142-92-7 ,2497-18-9 ,60415-61-4,104-76-7 , 2311-46-8 ,109-19-3 ,2548-87-0 ,540-18-1 ,4077-47-8 ,20664-46-4,821-55-6 ,5989-33-3 ,78-70-6 ,124-19-6 ,103-09-3,140-11-4 ,2639-63-6 ,53398-83-7 ,106-32-1 ,112-14-1 ,564-94-3 ,3913-81-3 ,134-20-3 ,110-39-4 ,110-38-3 ,29811-50-5 ,7786-58-5 ,15111-96-3 ,706-14-9 ,10522-34-6 ,5881-17-4 ,128-37-0,40716-66-3 ,4887-30-3 ,5454-09-1 ,2305-05-7 
PROPRIETARY 1 ,6.96,41.24,179.33,95.96,10.87,0.53,1.81,1.83,3437.73,5.08,0.00,64.62,78.26,2.29,0.00,1.39,67.02,1.83,110.34,1968.29,21.02,7.10,3.32,3.53,41.97,45.90,77.04,14335.48,92.25,9.11,9.75,37.36,9.54,3.18,1.06,0.00,4.23,3.94,2.54,517.87,0.00,4.09,6.22,7.97,9.90,45.64,29.13,0.53,4.53,0.00,0.79,2.17,1.67,12.78,29.87,0.11,3.81,137.57,22.11,4.51,7.40,2.54,2.84,0.13,11.65,3.33,5.23,0.00,11.79,0.00,5.59,4.53,0.85,0.68,0.44,9.73,0.67,97.06,12.78,8.68,4.20
CAMAROSA,7.13,30.29,225.30,81.56,13.84,0.61,4.55,5.39,3938.54,3.75,0.00,73.97,79.63,7.74,0.00,3.00,60.52,0.76,81.38,6487.68,117.21,3.47,2.22,1.68,30.25,30.03,47.41,15185.47,78.48,9.09,13.09,44.21,6.52,5.51,2.81,2.57,6.47,5.22,12.84,168.57,0.00,3.10,29.58,9.92,9.99,69.96,79.21,0.00,1.38,0.00,1.23,3.22,1.63,17.54,14.62,0.66,1.63,51.87,18.85,2.87,7.66,6.98,7.08,0.16,21.13,3.66,4.22,0.00,27.44,0.00,7.58,6.93,0.56,0.96,0.59,7.49,1.09,26.75,9.98,4.82,5.42
FESTIVAL,5.85,12.67,242.82,77.29,38.30,0.61,26.83,1.63,2946.22,6.74,0.00,70.39,68.79,0.51,2.53,2.08,37.85,2.65,50.73,3557.99,61.96,8.25,2.90,2.20,118.88,37.91,52.20,10600.45,9.02,2.26,2.62,5.74,14.89,18.72,10.74,6.12,4.32,4.14,0.60,191.30,0.00,5.35,132.50,125.58,4.92,52.94,16.30,1.31,11.70,0.33,1.63,3.91,2.56,19.87,37.83,1.43,3.16,75.99,19.24,3.29,6.81,21.49,16.38,1.21,11.03,4.22,3.58,0.00,50.97,6.02,0.59,1.17,1.93,0.60,1.51,8.54,2.27,86.35,23.87,11.82,9.72
MARA DES BOIS,5.14,10.54,194.51,71.36,2.27,0.44,7.17,3.84,1829.32,6.24,0.00,38.78,54.19,3.05,0.05,1.92,5.92,0.57,54.34,2189.85,88.98,2.78,0.40,0.56,11.69,24.73,57.68,12230.43,126.08,14.36,2.70,5.14,7.73,1.17,6.39,2.12,3.18,4.73,1.08,211.46,0.00,4.01,72.56,103.95,9.56,67.35,54.68,0.10,1.91,0.03,2.07,2.15,2.21,17.84,17.40,1.07,1.32,28.59,12.59,4.50,8.83,21.27,15.48,0.80,19.38,10.95,2.72,0.00,33.50,1.22,1.11,6.72,4.69,0.94,0.42,8.68,0.36,9.85,8.74,1.46,5.54
RADIANCE,8.05,13.94,202.66,73.78,11.81,0.32,0.99,2.62,2093.93,4.44,0.00,69.95,70.06,8.11,0.00,3.18,14.88,0.49,55.42,2830.28,38.56,6.00,1.38,1.51,75.65,39.49,87.29,15085.78,61.45,10.71,24.34,44.81,18.59,2.35,2.46,3.21,5.15,4.36,21.68,230.46,0.00,4.66,13.61,5.73,6.45,46.21,17.64,0.14,12.21,0.00,0.40,3.64,1.60,26.97,9.60,0.41,3.58,306.04,40.01,3.41,11.79,8.25,4.27,0.23,5.46,52.26,2.71,0.00,6.10,0.00,0.54,0.34,0.65,115.37,0.68,9.88,2.43,308.02,20.59,19.16,7.73
PROPRIETARY 2,4.40,15.29,140.46,32.32,1.40,0.42,3.25,1.14,7359.57,81.41,0.00,78.60,65.21,5.96,0.00,1.84,278.06,2.08,72.34,2235.46,223.79,8.81,19.83,16.03,206.43,48.14,86.63,12931.96,2.18,1.44,43.48,5.96,19.82,3.28,2.07,0.00,4.33,4.10,0.00,182.53,0.64,2.16,184.68,21.92,4.26,57.68,5.26,1.60,4.26,2.03,20.36,1.91,11.15,16.90,32.79,2.18,1.80,31.65,11.72,4.42,12.94,12.80,7.12,0.39,10.35,8.12,4.23,0.00,34.71,0.00,2.00,24.85,0.06,0.00,1.36,11.41,0.82,5.12,2.20,0.85,2.43
CAMAROSA,8.05,19.41,168.15,64.90,5.51,0.84,6.24,4.08,3092.47,6.75,0.00,84.45,83.49,4.52,0.08,3.82,40.17,1.36,74.73,3096.11,151.16,3.50,2.79,2.29,39.34,42.56,86.60,16752.16,49.50,7.84,9.45,28.73,12.78,8.03,5.22,2.59,6.70,8.16,7.85,177.26,1.17,4.82,82.90,34.95,11.54,76.65,17.42,0.15,3.14,0.45,2.82,4.47,2.67,23.65,23.72,2.30,1.13,79.98,20.75,3.96,15.69,12.79,3.99,0.62,34.07,9.20,6.93,0.00,60.22,0.00,11.73,16.29,2.80,1.57,1.14,10.85,2.21,78.87,16.29,4.94,9.50
SWEET CHARLIE,5.32,19.04,229.19,55.66,1.10,0.36,1.59,0.99,2821.39,19.94,0.00,83.44,76.64,3.55,0.00,0.00,38.92,1.69,65.95,3242.15,41.22,8.66,2.03,10.51,35.48,37.92,101.23,11893.28,0.93,9.64,6.98,4.40,130.12,0.00,3.45,1.76,4.95,4.92,0.00,579.41,0.28,6.87,46.30,80.13,9.32,72.09,5.60,1.15,10.25,2.60,1.99,4.78,2.74,28.96,26.38,9.77,4.42,161.57,32.69,3.44,25.45,17.14,3.60,1.26,28.47,10.97,3.42,0.00,59.74,3.99,3.58,15.07,4.29,313.79,1.33,12.77,5.49,667.62,65.87,24.70,11.74
TREASURE,9.93,17.29,266.09,83.88,1.31,0.93,0.09,0.73,1569.55,20.85,0.00,84.64,92.80,1.88,0.00,1.15,52.65,1.65,41.17,5076.19,148.51,1.35,4.99,6.89,281.63,44.88,107.55,18382.28,29.13,6.43,12.30,14.65,43.93,0.00,4.06,2.59,8.63,4.57,1.81,39.38,0.66,5.16,211.28,16.96,8.05,59.48,6.67,1.15,6.23,0.00,6.15,6.53,7.55,42.14,37.23,8.28,1.29,65.37,17.61,2.04,11.17,29.51,9.74,0.26,9.99,10.54,5.50,0.00,53.49,0.00,2.87,10.66,0.61,5.79,1.64,9.70,1.33,34.85,8.92,1.62,30.10
WINTER DAWN,5.43,18.71,119.71,52.64,3.33,0.44,0.83,1.24,2390.40,4.32,0.00,61.61,58.78,3.68,0.28,4.39,13.53,1.54,58.02,2783.71,41.49,7.19,3.41,0.00,68.75,37.09,83.33,15661.83,71.96,9.30,4.33,8.79,3.99,0.79,2.31,1.11,4.85,4.21,0.00,181.28,0.32,3.41,7.54,22.10,3.95,30.73,13.87,0.47,4.77,0.00,1.60,4.77,1.10,20.93,7.30,0.57,0.92,54.87,8.35,2.49,8.65,2.03,1.34,0.33,4.41,2.19,1.95,0.00,3.37,0.00,0.61,0.24,0.96,1.02,0.27,7.42,1.71,159.43,0.00,0.00,6.49
